Date,Price,Open,High,Low,Vol.,Change %
01/12/1999,1.5265,1.5293,1.5265,1.5293,,-3.01%
01/11/1999,1.5739,1.5733,1.5739,1.5733,,0.38%
01/10/1999,1.568,1.5696,1.568,1.5696,,2.32%
01/09/1999,1.5325,1.5319,1.5325,1.5319,,-2.17%
01/08/1999,1.5665,1.5686,1.5665,1.5686,,-0.06%
01/07/1999,1.5675,1.598,1.5675,1.598,,4.28%
01/06/1999,1.5031,1.5092,1.5031,1.5092,,-2.21%
01/05/1999,1.537,1.5323,1.537,1.5323,,1.71%
01/04/1999,1.5111,1.5094,1.5111,1.5094,,-4.36%
01/03/1999,1.58,1.584,1.58,1.584,,-2.11%
01/02/1999,1.6141,1.6113,1.6141,1.6113,,1.59%
01/01/1999,1.5889,1.5913,1.5889,1.5913,,-2.74%
01/12/1998,1.6337,1.6321,1.6337,1.6321,,2.69%
01/11/1998,1.5909,1.5903,1.5909,1.5903,,-0.87%
01/10/1998,1.6049,1.6054,1.6049,1.6054,,-4.90%
01/09/1998,1.6876,1.6892,1.6876,1.6892,,-4.31%
01/08/1998,1.7637,1.7668,1.7637,1.7668,,6.98%
01/07/1998,1.6487,1.6466,1.6487,1.6466,,2.28%
01/06/1998,1.6119,1.6121,1.6119,1.6121,,0.69%
01/05/1998,1.6009,1.5959,1.6009,1.5959,,4.14%
01/04/1998,1.5373,1.5337,1.5373,1.5337,,1.87%
01/03/1998,1.5091,1.5078,1.5091,1.5078,,2.60%
01/02/1998,1.4708,1.4678,1.4708,1.4678,,0.82%
01/01/1998,1.4588,1.4567,1.4588,1.4567,,-5.03%
01/12/1997,1.536,1.5347,1.536,1.5347,,4.84%
01/11/1997,1.4651,1.4607,1.4651,1.4607,,3.00%
01/10/1997,1.4224,1.4182,1.4224,1.4182,,3.11%
01/09/1997,1.3795,1.3805,1.3795,1.3805,,1.19%
01/08/1997,1.3633,1.3604,1.3633,1.3604,,1.78%
01/07/1997,1.3395,1.3421,1.3395,1.3421,,0.67%
01/06/1997,1.3306,1.3344,1.3306,1.3344,,1.25%
01/05/1997,1.3142,1.3127,1.3142,1.3127,,2.65%
01/04/1997,1.2803,1.2793,1.2803,1.2793,,0.36%
01/03/1997,1.2757,1.2786,1.2757,1.2786,,-0.87%
01/02/1997,1.2869,1.2887,1.2869,1.2887,,-1.88%
01/01/1997,1.3116,1.311,1.3116,1.311,,4.20%
01/12/1996,1.2587,1.2587,1.2587,1.2587,,2.62%
01/11/1996,1.2266,1.2277,1.2266,1.2277,,-2.83%
01/10/1996,1.2623,1.2609,1.2623,1.2609,,-0.12%
01/09/1996,1.2638,1.2637,1.2638,1.2637,,-0.08%
01/08/1996,1.2648,1.2626,1.2648,1.2626,,-2.26%
01/07/1996,1.2941,1.2938,1.2941,1.2938,,1.88%
01/06/1996,1.2702,1.271,1.2702,1.271,,1.40%
01/05/1996,1.2527,1.2528,1.2527,1.2528,,-1.45%
01/04/1996,1.2711,1.2718,1.2711,1.2718,,-0.60%
01/03/1996,1.2788,1.2786,1.2788,1.2786,,-2.26%
01/02/1996,1.3084,1.3079,1.3084,1.3079,,-2.45%
01/01/1996,1.3413,1.3426,1.3413,1.3426,,-0.22%
01/12/1995,1.3443,1.3443,1.3443,1.3443,,-0.05%
01/11/1995,1.345,1.345,1.345,1.345,,2.42%
01/10/1995,1.3132,1.3132,1.3132,1.3132,,-0.88%
01/09/1995,1.3249,1.3249,1.3249,1.3249,,-0.25%
01/08/1995,1.3282,1.3282,1.3282,1.3282,,-1.80%
01/07/1995,1.3526,1.3526,1.3526,1.3526,,-4.11%
01/06/1995,1.4106,1.4106,1.4106,1.4106,,1.52%
01/05/1995,1.3895,1.3895,1.3895,1.3895,,1.13%
01/04/1995,1.374,1.374,1.374,1.374,,0.78%
01/03/1995,1.3633,1.3633,1.3633,1.3633,,0.52%
01/02/1995,1.3563,1.3563,1.3563,1.3563,,2.67%
01/01/1995,1.321,1.321,1.321,1.321,,2.47%
01/12/1994,1.2892,1.2892,1.2892,1.2892,,-0.92%
01/11/1994,1.3012,1.3012,1.3012,1.3012,,-3.45%
01/10/1994,1.3477,1.3477,1.3477,1.3477,,-0.27%
01/09/1994,1.3514,1.3514,1.3514,1.3514,,0.61%
01/08/1994,1.3432,1.3432,1.3432,1.3432,,-0.74%
01/07/1994,1.3532,1.3532,1.3532,1.3532,,-1.13%
01/06/1994,1.3686,1.3686,1.3686,1.3686,,1.07%
01/05/1994,1.3541,1.3541,1.3541,1.3541,,-3.38%
01/04/1994,1.4015,1.4015,1.4015,1.4015,,-1.75%
01/03/1994,1.4265,1.4265,1.4265,1.4265,,1.64%
01/02/1994,1.4035,1.4035,1.4035,1.4035,,-0.49%
01/01/1994,1.4104,1.4104,1.4104,1.4104,,-4.30%
01/12/1993,1.4738,1.4738,1.4738,1.4738,,-2.85%
01/11/1993,1.517,1.517,1.517,1.517,,1.03%
01/10/1993,1.5015,1.5015,1.5015,1.5015,,-3.12%
01/09/1993,1.5499,1.5499,1.5499,1.5499,,4.00%
01/08/1993,1.4903,1.4903,1.4903,1.4903,,2.76%
01/07/1993,1.4503,1.4503,1.4503,1.4503,,-3.70%
01/06/1993,1.506,1.506,1.506,1.506,,3.38%
01/05/1993,1.4567,1.4567,1.4567,1.4567,,2.85%
01/04/1993,1.4164,1.4164,1.4164,1.4164,,0.00%
01/03/1993,1.4164,1.4164,1.4164,1.4164,,-1.49%
01/02/1993,1.4378,1.4378,1.4378,1.4378,,-2.27%
01/01/1993,1.4712,1.4712,1.4712,1.4712,,1.36%
01/12/1992,1.4514,1.4514,1.4514,1.4514,,-1.02%
01/11/1992,1.4663,1.4663,1.4663,1.4663,,1.91%
01/10/1992,1.4388,1.4388,1.4388,1.4388,,2.54%
01/09/1992,1.4031,1.4031,1.4031,1.4031,,0.74%
01/08/1992,1.3928,1.3928,1.3928,1.3928,,3.62%
01/07/1992,1.3441,1.3441,1.3441,1.3441,,0.47%
01/06/1992,1.3378,1.3378,1.3378,1.3378,,1.40%
01/05/1992,1.3193,1.3193,1.3193,1.3193,,-0.26%
01/04/1992,1.3228,1.3228,1.3228,1.3228,,1.79%
01/03/1992,1.2995,1.2995,1.2995,1.2995,,-2.02%
01/02/1992,1.3263,1.3263,1.3263,1.3263,,-0.20%
01/01/1992,1.3289,1.3289,1.3289,1.3289,,0.93%
01/12/1991,1.3167,1.3167,1.3167,1.3167,,3.29%
01/11/1991,1.2747,1.2747,1.2747,1.2747,,-0.76%
01/10/1991,1.2845,1.2845,1.2845,1.2845,,2.69%
01/09/1991,1.2508,1.2508,1.2508,1.2508,,-1.75%
01/08/1991,1.2731,1.2731,1.2731,1.2731,,-0.95%
01/07/1991,1.2853,1.2853,1.2853,1.2853,,-1.35%
01/06/1991,1.3029,1.3029,1.3029,1.3029,,-0.98%
01/05/1991,1.3158,1.3158,1.3158,1.3158,,2.89%
01/04/1991,1.2788,1.2788,1.2788,1.2788,,-0.89%
01/03/1991,1.2903,1.2903,1.2903,1.2903,,1.29%
01/02/1991,1.2739,1.2739,1.2739,1.2739,,-0.25%
01/01/1991,1.2771,1.2771,1.2771,1.2771,,-1.53%
01/12/1990,1.297,1.297,1.297,1.297,,0.37%
01/11/1990,1.2922,1.2922,1.2922,1.2922,,1.50%
01/10/1990,1.2731,1.2731,1.2731,1.2731,,5.15%
01/09/1990,1.2107,1.2107,1.2107,1.2107,,-1.38%
01/08/1990,1.2277,1.2277,1.2277,1.2277,,-2.76%
01/07/1990,1.2626,1.2626,1.2626,1.2626,,0.00%
01/06/1990,1.2626,1.2626,1.2626,1.2626,,-2.84%
01/05/1990,1.2995,1.2995,1.2995,1.2995,,-2.47%
01/04/1990,1.3324,1.3324,1.3324,1.3324,,0.42%
01/03/1990,1.3268,1.3268,1.3268,1.3268,,0.93%
01/02/1990,1.3146,1.3146,1.3146,1.3146,,1.05%
01/01/1990,1.3009,1.3009,1.3009,1.3009,,2.77%
01/12/1989,1.2658,1.2658,1.2658,1.2658,,-0.95%
01/11/1989,1.278,1.278,1.278,1.278,,0.07%
01/10/1989,1.2771,1.2771,1.2771,1.2771,,-0.96%
01/09/1989,1.2895,1.2895,1.2895,1.2895,,-1.41%
01/08/1989,1.308,1.308,1.308,1.308,,-1.18%
01/07/1989,1.3236,1.3236,1.3236,1.3236,,0.06%
01/06/1989,1.3228,1.3228,1.3228,1.3228,,-0.79%
01/05/1989,1.3333,1.3333,1.3333,1.3333,,5.87%
